iteration	commit	metric	status	description
0	baseline	8733	baseline	Rust コード行数ベースライン
1	3184602	8569	kept	routes.rs: check_unauthorized ヘルパー抽出で 164 行削減
2	d162736	8558	kept	routes.rs: use 文をモジュール先頭に集約で 11 行削減
3	d354328	8521	kept	csv_util: time_n ヘルパーでタイミングテスト 37 行削減
4	97bb2c0	8460	kept	security.rs: oneshot_status ヘルパーで CSRF テスト 61 行削減
5	53cf804	8423	kept	routes 作成テスト統合 + errors check_status ヘルパーで 37 行削減
6	ef52172	8392	kept	csv_util・auth テスト統合で 31 行削減
7	3d57d57	8377	kept	csv_util: required フィールドのエラーテスト統合で 15 行削減
8	0f4fc17	8367	kept	asset_balance: 保有数量エラーとスキップ行テスト統合で 10 行削減
9	5a04583	8355	kept	domestic_stock/dividend: row-error テスト統合で 12 行削減
10	c9d6d83	8333	kept	auth/rate_limit: cookie・rate_limiter 構築テスト統合で 22 行削減
11	5ba22ce	8318	kept	config: ユーティリティテスト統合で 15 行削減
12	39773f5	8301	kept	security.rs: extract_origin テスト統合で 17 行削減
13	622d720	8272	kept	errors: status チェックテスト一括統合で 29 行削減
14	1dba202	8216	kept	routes: unauthorized テスト一括統合で 56 行削減
15	1f6c6b8	8207	kept	auth/jquants: テスト統合で 9 行削減
16	117a16d	8204	kept	config: テスト統合で 3 行削減
17	478483e	8181	kept	shared/dividend_cache: BulkTimer/compute_is_stale テスト統合で 23 行削減
18	5e4807d	8161	kept	dividend_cache: extract_dividend テスト統合で 20 行削減
19	b0d7468	8109	kept	stock/query: テスト統合と make_stock ヘルパー抽出で 52 行削減
20	9b11621	8086	kept	csv_domain/common: テスト統合で 23 行削減
21	b37b829	8054	kept	char_width_converter/cors: テスト統合で 32 行削減
22	b2d17db	8032	kept	csv_import/asset_balance: 行テスト統合で 22 行削減
23	2972c40	7999	kept	domestic_stock/dividend/mutualfund: preview_csv 基本テスト統合で 33 行削減
24	9484b2d	7981	kept	csv_util: parse 系テストを 5→2 に統合し対象ファイル 18 行削減
25	16639ef	7886	kept	routes/rate_limit: assert_rate_limited ヘルパーでテスト 95 行削減
26	c6e90af	7883	kept	asset_balance: テスト統合で 3 行削減
27	f69c1b9	7885	reverted	domestic_stock: cherry-pick が逆に +2 行のためリバート（6f3ae50）
28	840ed77	7881	kept	csv_util: テスト統合で 2 行削減
29	20b7d2d	7878	kept	domestic_stock: テスト統合で 3 行削減
30	956f903	7851	kept	rate_limit: テスト統合でさらに 27 行削減（172→145）
31	464dd22	7794	kept	squash-merge 後の実測値（iter30記録と差異あり）
32	b7b480d	7706	kept	squash-merge #337（iter 32〜38: stock/auth/config/routes/csv_import で 88 行削減）
39	98f63f9	7691	kept	security: ヘッダーテストのリクエスト構築共通化で 15 行削減
40	e0829b4	7857	fmt-cleanup	cargo fmt 正規化: 過去の assert 一行化を展開。errors.rs serde_err 型注釈削除で 1 行削減
41	cded4d0	7855	kept	security: 2 つのヘッダーテストを 1 つに統合で 2 行削減
42	8f7f74f	7849	kept	dividend_cache: past/future 変数抽出で compute_is_stale テスト 6 行削減
43	c365d77	7841	kept	routes: request_id テストに closure 抽出で 8 行削減
44	12d83a2	7833	kept	config: from_env レート制限パースを closure で圧縮し 8 行削減
45	cceded7	7827	kept	security: GET テストを test_validate_origin に統合し 6 行削減
46	e1a39d7	7842	fmt-cleanup	cargo fmt 正規化: iter 43-45 の一行化を展開（+15 行、実行削減数は -15）
47	59ae913	7824	kept	routes/csv_util/domestic_stock/asset_balance: テスト統合で 18 行削減
48	eab4d45	7815	kept	csv_util/dividend/mutualfund: テスト統合で 9 行削減
49	4dba61e	7802	kept	errors/csv_import/asset_balance/config: テスト統合で 13 行削減
50	3028ee6	7792	kept	security/domestic_stock/asset_balance: テスト統合で 10 行削減
51	975070f	7773	kept	auth/security/csv_util: テスト統合で 19 行削減
52	7cd899a	7749	kept	char_width/cors/rate_limit/csv_import/validated_json: テスト統合で 24 行削減
