約定日,受渡日,銘柄コード,銘柄名,口座,信用区分,取引,数量[株],売却/決済単価[円],売却/決済額[円],平均取得価額[円],実現損益[円]
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/01/20","2026/01/23","9104","商船三井","特定","-","売付","50","5,200.0","260,000","4,800.00","20,000"
"2026/02/12","2026/02/16","9508","九州電力","特定","-","売付","100","1,880.0","188,000","1,770.00","11,000"
"2026/02/18","2026/02/21","6503","三菱電機","特定","-","売付","150","2,100.0","315,000","2,200.00","-15,000"
